Product_ID,Title,Subtitle,Category,Sub_Category,Tags,Price,Original_Price,Badge,Is_New_Arrival,Is_Best_Seller,Description,Detail_1,Detail_2,Detail_3,Detail_4,Images,Color Name,Stock
2026_1002,Banarsi Silk Suit,Shirt length 45 / Bottom 2.5 mtrs / Dupatta 2.25 mtrs,Summer Collections,Silk & Partywear,"New Arrival, Silk & Partywear, Banarsi Silk",1800,2400,New,Y,Y,"Pure Banarsi Silk Suit, Shirt Length 45 ready. Bottom 2.5 mtrs reyon fabric, Dupatta Banarsi 2.25 mtrs.",Fabric: Banarsi Silk,Shirt length: 45 ready,Bottom: 2.5 mtrs,Dupatta: 2.25 mtrs,,Peach,5
2026_1002,Banarsi Silk Suit,Shirt length 45 / Bottom 2.5 mtrs / Dupatta 2.25 mtrs,Summer Collections,Silk & Partywear,"New Arrival, Silk & Partywear, Banarsi Silk",1800,2400,New,Y,Y,"Pure Banarsi Silk Suit, Shirt Length 45 ready. Bottom 2.5 mtrs reyon fabric, Dupatta Banarsi 2.25 mtrs.",Fabric: Banarsi Silk,Shirt length: 45 ready,Bottom: 2.5 mtrs,Dupatta: 2.25 mtrs,,Mergenta,5
2026_1002,Banarsi Silk Suit,Shirt length 45 / Bottom 2.5 mtrs / Dupatta 2.25 mtrs,Summer Collections,Silk & Partywear,"New Arrival, Silk & Partywear, Banarsi Silk",1800,2400,New,Y,Y,"Pure Banarsi Silk Suit, Shirt Length 45 ready. Bottom 2.5 mtrs reyon fabric, Dupatta Banarsi 2.25 mtrs.",Fabric: Banarsi Silk,Shirt length: 45 ready,Bottom: 2.5 mtrs,Dupatta: 2.25 mtrs,,Red,8
2026_1002,Banarsi Silk Suit,Shirt length 45 / Bottom 2.5 mtrs / Dupatta 2.25 mtrs,Summer Collections,Silk & Partywear,"New Arrival, Silk & Partywear, Banarsi Silk",1800,2400,New,Y,Y,"Pure Banarsi Silk Suit, Shirt Length 45 ready. Bottom 2.5 mtrs reyon fabric, Dupatta Banarsi 2.25 mtrs.",Fabric: Banarsi Silk,Shirt length: 45 ready,Bottom: 2.5 mtrs,Dupatta: 2.25 mtrs,,Yellow,2
